time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
7.0674,-0.5568,3.3865,0.7719,0,0,0
7.0843,-0.5568,3.3865,0.7719,0,0,0
7.1011,-0.5568,3.3865,0.7719,0,0,0
7.118,-0.5568,3.3865,0.7719,0,0,0
7.1348,-0.5568,3.3865,0.7719,0,0,0
7.1517,-0.5568,3.3865,0.7719,0,0,0
7.1685,-0.5568,3.3865,0.7719,0,0,0
7.1857,-0.5568,3.3865,0.7719,0,0,0
7.2022,-0.5568,3.3865,0.7719,0,0,0
7.2191,-0.5568,3.3865,0.7719,0,0,0
7.2359,-0.5568,3.3865,0.7719,0,0,0
7.2528,-0.5568,3.3865,0.7719,0,0,0
7.2697,-0.5568,3.3865,0.7719,0,0,0
7.2865,-0.5568,3.3865,0.7719,0,0,0
7.3033,-0.5568,3.3865,0.7719,0,0,0
7.3202,-0.5568,3.3865,0.7719,0,0,0
7.337,-0.5568,3.3865,0.7719,0,0,0
7.3539,-0.5568,3.3865,0.7719,0,0,0
7.3707,-0.5568,3.3865,0.7719,0,0,0
7.3876,-0.5568,3.3865,0.7719,0,0,0
7.4044,-0.5568,3.3865,0.7719,0,0,0
7.4213,-0.5568,3.3865,0.7719,0,0,0
7.4387,-0.5568,3.3865,0.7719,0,0,0
7.455,-0.5568,3.3865,0.7719,0,0,0
7.4722,-0.5568,3.3865,0.7719,0,0,0
7.4887,-0.5568,3.3865,0.7719,0,0,0
7.5055,-0.5568,3.3865,0.7719,0,0,0
7.5224,-0.5568,3.3865,0.7719,0,0,0
7.5392,-0.5568,3.3865,0.7719,0,0,0
7.5567,-0.5568,3.3865,0.7719,0,0,0
7.5729,-0.5568,3.3865,0.7719,0,0,0
7.5898,-0.5568,3.3865,0.7719,0,0,0
7.6067,-0.5568,3.3865,0.7719,0,0,0
7.6235,-0.5568,3.3865,0.7719,0,0,0
7.6403,-0.5568,3.3865,0.7719,0,0,0
7.6572,-0.5568,3.3865,0.7719,0,0,0
7.6742,-0.5568,3.3865,0.7719,0,0,0
7.6909,-0.5568,3.3865,0.7719,0,0,0
7.7077,-0.5568,3.3865,0.7719,0,0,0
7.7246,-0.5568,3.3865,0.7719,0,0,0
7.7414,-0.5568,3.3865,0.7719,0,0,0
7.7587,-0.5568,3.3865,0.7719,0,0,0
7.7751,-0.5568,3.3865,0.7719,0,0,0
7.7922,-0.5568,3.3865,0.7719,0,0,0
7.8088,-0.5568,3.3865,0.7719,0,0,0
7.8257,-0.5568,3.3865,0.7719,0,0,0
7.8427,-0.5568,3.3865,0.7719,0,0,0
7.8594,-0.5568,3.3865,0.7719,0,0,0
7.8762,-0.5568,3.3865,0.7719,0,0,0
7.8931,-0.5568,3.3865,0.7719,0,0,0
7.9099,-0.5568,3.3865,0.7719,0,0,0
7.9268,-0.5568,3.3865,0.7719,0,0,0
7.9437,-0.5568,3.3865,0.7719,0,0,0
7.9604,-0.5568,3.3865,0.7719,0,0,0
7.9777,-0.5568,3.3865,0.7719,0,0,0
7.9941,-0.5568,3.3865,0.7719,0,0,0
8.0113,-0.5568,3.3865,0.7719,0,0,0
8.0278,-0.5568,3.3865,0.7719,0,0,0
8.0448,-0.5568,3.3865,0.7719,0,0,0
8.0615,-0.5568,3.3865,0.7719,0,0,0
