time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
0,-0.5568,3.3865,0.7719,0,0,0
0.02,-0.5568,3.3865,0.7719,0,0,0
0.2772,-0.5568,3.3865,0.7719,0,0,0
0.2941,-0.5568,3.3865,0.7719,0,0,0
0.3115,-0.5568,3.3865,0.7719,0,0,0
0.328,-0.5568,3.3865,0.7719,0,0,0
0.3446,-0.5568,3.3865,0.7719,0,0,0
0.3615,-0.5568,3.3865,0.7719,0,0,0
0.3785,-0.5568,3.3865,0.7719,0,0,0
0.3952,-0.5568,3.3865,0.7719,0,0,0
0.412,-0.5568,3.3865,0.7719,0,0,0
0.4291,-0.5568,3.3865,0.7719,0,0,0
0.4457,-0.5568,3.3865,0.7719,0,0,0
0.4632,-0.5568,3.3865,0.7719,0,0,0
0.4797,-0.5568,3.3865,0.7719,0,0,0
0.4963,-0.5568,3.3865,0.7719,0,0,0
0.5132,-0.5568,3.3865,0.7719,0,0,0
0.5302,-0.5568,3.3865,0.7719,0,0,0
0.5468,-0.5568,3.3865,0.7719,0,0,0
0.5642,-0.5568,3.3865,0.7719,0,0,0
0.5812,-0.5568,3.3865,0.7719,0,0,0
0.5974,-0.5568,3.3865,0.7719,0,0,0
0.6142,-0.5568,3.3865,0.7719,0,0,0
0.6313,-0.5568,3.3865,0.7719,0,0,0
0.6481,-0.5568,3.3865,0.7719,0,0,0
0.6648,-0.5568,3.3865,0.7719,0,0,0
0.6818,-0.5568,3.3865,0.7719,0,0,0
0.6985,-0.5568,3.3865,0.7719,0,0,0
0.7162,-0.5568,3.3865,0.7719,0,0,0
0.7322,-0.5568,3.3865,0.7719,0,0,0
0.749,-0.5568,3.3865,0.7719,0,0,0
0.7659,-0.5568,3.3865,0.7719,0,0,0
0.7827,-0.5568,3.3865,0.7719,0,0,0
0.7997,-0.5568,3.3865,0.7719,0,0,0
0.8164,-0.5568,3.3865,0.7719,0,0,0
0.8335,-0.5568,3.3865,0.7719,0,0,0
0.8501,-0.5568,3.3865,0.7719,0,0,0
0.8671,-0.5568,3.3865,0.7719,0,0,0
0.8846,-0.5568,3.3865,0.7719,0,0,0
0.9011,-0.5568,3.3865,0.7719,0,0,0
0.9177,-0.5568,3.3865,0.7719,0,0,0
0.9344,-0.5568,3.3865,0.7719,0,0,0
0.9512,-0.5568,3.3865,0.7719,0,0,0
0.968,-0.5568,3.3865,0.7719,0,0,0
0.9849,-0.5568,3.3865,0.7719,0,0,0
