time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
6.0565,-0.5568,3.3865,0.7719,0,0,0
6.0736,-0.5568,3.3865,0.7719,0,0,0
6.0902,-0.5568,3.3865,0.7719,0,0,0
6.107,-0.5568,3.3865,0.7719,0,0,0
6.1239,-0.5568,3.3865,0.7719,0,0,0
6.1407,-0.5568,3.3865,0.7719,0,0,0
6.1576,-0.5568,3.3865,0.7719,0,0,0
6.1746,-0.5568,3.3865,0.7719,0,0,0
6.1913,-0.5568,3.3865,0.7719,0,0,0
6.2081,-0.5568,3.3865,0.7719,0,0,0
6.2251,-0.5568,3.3865,0.7719,0,0,0
6.2418,-0.5568,3.3865,0.7719,0,0,0
6.2587,-0.5568,3.3865,0.7719,0,0,0
6.2756,-0.5568,3.3865,0.7719,0,0,0
6.2924,-0.5568,3.3865,0.7719,0,0,0
6.3101,-0.5568,3.3865,0.7719,0,0,0
6.3261,-0.5568,3.3865,0.7719,0,0,0
6.3432,-0.5568,3.3865,0.7719,0,0,0
6.3602,-0.5568,3.3865,0.7719,0,0,0
6.3766,-0.5568,3.3865,0.7719,0,0,0
6.3935,-0.5568,3.3865,0.7719,0,0,0
6.4103,-0.5568,3.3865,0.7719,0,0,0
6.4272,-0.5568,3.3865,0.7719,0,0,0
6.4442,-0.5568,3.3865,0.7719,0,0,0
6.4609,-0.5568,3.3865,0.7719,0,0,0
6.4782,-0.5568,3.3865,0.7719,0,0,0
6.4947,-0.5568,3.3865,0.7719,0,0,0
6.5114,-0.5568,3.3865,0.7719,0,0,0
6.5283,-0.5568,3.3865,0.7719,0,0,0
6.5452,-0.5568,3.3865,0.7719,0,0,0
6.562,-0.5568,3.3865,0.7719,0,0,0
6.5788,-0.5568,3.3865,0.7719,0,0,0
6.5957,-0.5568,3.3865,0.7719,0,0,0
6.6127,-0.5568,3.3865,0.7719,0,0,0
6.6294,-0.5568,3.3865,0.7719,0,0,0
6.6467,-0.5568,3.3865,0.7719,0,0,0
6.6637,-0.5568,3.3865,0.7719,0,0,0
6.6802,-0.5568,3.3865,0.7719,0,0,0
6.6968,-0.5568,3.3865,0.7719,0,0,0
6.7136,-0.5568,3.3865,0.7719,0,0,0
6.7307,-0.5568,3.3865,0.7719,0,0,0
6.7477,-0.5568,3.3865,0.7719,0,0,0
6.7642,-0.5568,3.3865,0.7719,0,0,0
6.781,-0.5568,3.3865,0.7719,0,0,0
6.7979,-0.5568,3.3865,0.7719,0,0,0
6.8147,-0.5568,3.3865,0.7719,0,0,0
6.8316,-0.5568,3.3865,0.7719,0,0,0
6.8484,-0.5568,3.3865,0.7719,0,0,0
6.8653,-0.5568,3.3865,0.7719,0,0,0
6.8822,-0.5568,3.3865,0.7719,0,0,0
6.899,-0.5568,3.3865,0.7719,0,0,0
6.9158,-0.5568,3.3865,0.7719,0,0,0
6.9327,-0.5568,3.3865,0.7719,0,0,0
6.9495,-0.5568,3.3865,0.7719,0,0,0
6.9663,-0.5568,3.3865,0.7719,0,0,0
6.9837,-0.5568,3.3865,0.7719,0,0,0
7.0002,-0.5568,3.3865,0.7719,0,0,0
7.0169,-0.5568,3.3865,0.7719,0,0,0
7.0342,-0.5568,3.3865,0.7719,0,0,0
7.0506,-0.5568,3.3865,0.7719,0,0,0
