time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
2.0127,-0.5568,3.3865,0.7719,0,0,0
2.0296,-0.5568,3.3865,0.7719,0,0,0
2.0464,-0.5568,3.3865,0.7719,0,0,0
2.0632,-0.5568,3.3865,0.7719,0,0,0
2.0807,-0.5568,3.3865,0.7719,0,0,0
2.0972,-0.5568,3.3865,0.7719,0,0,0
2.1138,-0.5568,3.3865,0.7719,0,0,0
2.1306,-0.5568,3.3865,0.7719,0,0,0
2.1476,-0.5568,3.3865,0.7719,0,0,0
2.1643,-0.5568,3.3865,0.7719,0,0,0
2.182,-0.5568,3.3865,0.7719,0,0,0
2.1985,-0.5568,3.3865,0.7719,0,0,0
2.215,-0.5568,3.3865,0.7719,0,0,0
2.2317,-0.5568,3.3865,0.7719,0,0,0
2.2486,-0.5568,3.3865,0.7719,0,0,0
2.2654,-0.5568,3.3865,0.7719,0,0,0
2.2823,-0.5568,3.3865,0.7719,0,0,0
2.2991,-0.5568,3.3865,0.7719,0,0,0
2.316,-0.5568,3.3865,0.7719,0,0,0
2.3328,-0.5568,3.3865,0.7719,0,0,0
2.3497,-0.5568,3.3865,0.7719,0,0,0
2.3665,-0.5568,3.3865,0.7719,0,0,0
2.3838,-0.5568,3.3865,0.7719,0,0,0
2.4002,-0.5568,3.3865,0.7719,0,0,0
2.4171,-0.5568,3.3865,0.7719,0,0,0
2.4348,-0.5568,3.3865,0.7719,0,0,0
2.4508,-0.5568,3.3865,0.7719,0,0,0
2.4678,-0.5568,3.3865,0.7719,0,0,0
2.4845,-0.5568,3.3865,0.7719,0,0,0
2.5019,-0.5568,3.3865,0.7719,0,0,0
2.5184,-0.5568,3.3865,0.7719,0,0,0
2.535,-0.5568,3.3865,0.7719,0,0,0
2.5519,-0.5568,3.3865,0.7719,0,0,0
2.5687,-0.5568,3.3865,0.7719,0,0,0
2.5864,-0.5568,3.3865,0.7719,0,0,0
2.6024,-0.5568,3.3865,0.7719,0,0,0
2.6199,-0.5568,3.3865,0.7719,0,0,0
2.6361,-0.5568,3.3865,0.7719,0,0,0
2.6534,-0.5568,3.3865,0.7719,0,0,0
2.67,-0.5568,3.3865,0.7719,0,0,0
2.6867,-0.5568,3.3865,0.7719,0,0,0
2.7041,-0.5568,3.3865,0.7719,0,0,0
2.7206,-0.5568,3.3865,0.7719,0,0,0
2.7372,-0.5568,3.3865,0.7719,0,0,0
2.7541,-0.5568,3.3865,0.7719,0,0,0
2.7711,-0.5568,3.3865,0.7719,0,0,0
2.7881,-0.5568,3.3865,0.7719,0,0,0
2.8046,-0.5568,3.3865,0.7719,0,0,0
2.8215,-0.5568,3.3865,0.7719,0,0,0
2.8383,-0.5568,3.3865,0.7719,0,0,0
2.8552,-0.5568,3.3865,0.7719,0,0,0
2.872,-0.5568,3.3865,0.7719,0,0,0
2.8891,-0.5568,3.3865,0.7719,0,0,0
2.9057,-0.5568,3.3865,0.7719,0,0,0
2.9226,-0.5568,3.3865,0.7719,0,0,0
2.9396,-0.5568,3.3865,0.7719,0,0,0
2.9563,-0.5568,3.3865,0.7719,0,0,0
2.9731,-0.5568,3.3865,0.7719,0,0,0
2.9906,-0.5568,3.3865,0.7719,0,0,0
3.0068,-0.5568,3.3865,0.7719,0,0,0
