time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
35.32959,0,2,0,0,270,90
35.34711,0,2.0302,0,0,270,90
35.36329,0,2.0581,0,0,270,90
35.38013,0,2.0872,0,0,270,90
35.39712,0,2.1165,0,0,270,90
35.41412,0,2.1458,0,0,270,90
35.43113,0,2.1751,0,0,270,90
35.44813,0,2.2044,0,0,270,90
35.46513,0,2.2337,0,0,270,90
35.48123,0,2.2615,0,0,270,90
35.49815,0,2.2907,0,0,270,90
35.51493,0,2.3196,0,0,270,90
35.53178,0,2.3486,0,0,270,90
35.54863,0,2.3777,0,0,270,90
35.56548,0,2.4068,0,0,270,90
35.58232,0,2.4358,0,0,270,90
35.59917,0,2.4649,0,0,270,90
35.61602,0,2.4939,0,0,270,90
35.63287,0,2.523,0,0,270,90
35.64972,0,2.552,0,0,270,90
35.66718,0,2.5821,0,0,270,90
35.68419,0,2.6115,0,0,270,90
35.70027,0,2.6392,0,0,270,90
35.7172,0,2.6684,0,0,270,90
35.7342,0,2.6977,0,0,270,90
35.7512,0,2.727,0,0,270,90
35.76767,0,2.7554,0,0,270,90
35.78452,0,2.7844,0,0,270,90
35.80136,0,2.8135,0,0,270,90
35.81822,0,2.8426,0,0,270,90
35.83522,0,2.8719,0,0,270,90
35.85223,0,2.9012,0,0,270,90
35.86923,0,2.9305,0,0,270,90
35.88624,0,2.9598,0,0,270,90
35.90246,0,2.9878,0,0,270,90
35.91931,0,3.0169,0,0,270,90
35.93625,0,3.0461,0,0,270,90
35.95325,0,3.0754,0,0,270,90
35.97026,0,3.1047,0,0,270,90
35.98726,0,3.134,0,0,270,90
36.00426,0,3.1634,0,0,270,90
36.0204,0,3.1912,0,0,270,90
36.03727,0,3.2203,0,0,270,90
36.05427,0,3.2496,0,0,270,90
36.07128,0,3.2789,0,0,270,90
36.0878,0,3.3074,0,0,270,90
36.10465,0,3.3365,0,0,270,90
36.1215,0,3.3655,0,0,270,90
36.13835,0,3.3946,0,0,270,90
36.15529,0,3.4238,0,0,270,90
36.17205,0,3.4527,0,0,270,90
36.1889,0,3.4817,0,0,270,90
36.20574,0,3.5108,0,0,270,90
36.22259,0,3.5398,0,0,270,90
36.23944,0,3.5689,0,0,270,90
36.25629,0,3.5979,0,0,270,90
36.27332,0,3.6273,0,0,270,90
36.29033,0,3.6566,0,0,270,90
36.30733,0,3.686,0,0,270,90
36.32369,0,3.7142,0,0,270,90
36.34053,0,3.7432,0,0,270,90
36.35739,0,3.7723,0,0,270,90
36.37434,0,3.8015,0,0,270,90
36.39108,0,3.8304,0,0,270,90
36.40835,0,3.8601,0,0,270,90
36.42535,0,3.8895,0,0,270,90
36.44163,0,3.9175,0,0,270,90
36.45936,0,3.9481,0,0,270,90
36.47537,0,3.9757,0,0,270,90
36.49218,0,4.0047,0,0,270,90
36.50903,0,4.0337,0,0,270,90
36.52588,0,4.0628,0,0,270,90
36.54273,0,4.0918,0,0,270,90
36.55958,0,4.1209,0,0,270,90
36.57642,0,4.15,0,0,270,90
36.59327,0,4.179,0,0,270,90
36.61012,0,4.2081,0,0,270,90
