time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
63.33342,0,2,0,0,270,90
63.34973,0,2.0162,0,0,270,90
63.36658,0,2.0329,0,0,270,90
63.38343,0,2.0496,0,0,270,90
63.40028,0,2.0663,0,0,270,90
63.41713,0,2.083,0,0,270,90
63.43397,0,2.0998,0,0,270,90
63.45088,0,2.1165,0,0,270,90
63.46787,0,2.1334,0,0,270,90
63.48487,0,2.1503,0,0,270,90
63.50137,0,2.1666,0,0,270,90
63.51822,0,2.1833,0,0,270,90
63.53588,0,2.2009,0,0,270,90
63.55191,0,2.2168,0,0,270,90
63.56889,0,2.2336,0,0,270,90
63.5859,0,2.2505,0,0,270,90
63.6029,0,2.2673,0,0,270,90
63.61931,0,2.2836,0,0,270,90
63.63692,0,2.3011,0,0,270,90
63.65301,0,2.3171,0,0,270,90
63.66991,0,2.3338,0,0,270,90
63.68671,0,2.3505,0,0,270,90
63.70356,0,2.3672,0,0,270,90
63.72041,0,2.3839,0,0,270,90
63.73726,0,2.4006,0,0,270,90
63.7541,0,2.4173,0,0,270,90
63.77096,0,2.4341,0,0,270,90
63.78795,0,2.4509,0,0,270,90
63.80465,0,2.4675,0,0,270,90
63.8215,0,2.4842,0,0,270,90
63.83835,0,2.5009,0,0,270,90
63.8552,0,2.5176,0,0,270,90
63.87205,0,2.5344,0,0,270,90
63.88897,0,2.5511,0,0,270,90
63.90575,0,2.5678,0,0,270,90
63.92298,0,2.5849,0,0,270,90
63.93945,0,2.6012,0,0,270,90
63.9563,0,2.6179,0,0,270,90
63.97314,0,2.6346,0,0,270,90
63.98999,0,2.6514,0,0,270,90
64.007,0,2.6682,0,0,270,90
64.0237,0,2.6848,0,0,270,90
64.04101,0,2.702,0,0,270,90
64.0574,0,2.7182,0,0,270,90
64.07424,0,2.7349,0,0,270,90
64.09109,0,2.7516,0,0,270,90
64.10802,0,2.7684,0,0,270,90
64.12479,0,2.7851,0,0,270,90
64.14203,0,2.8022,0,0,270,90
64.15903,0,2.819,0,0,270,90
