timestamp,log_type,message
33.71671,Log,Running trial!
33.71671,Log,The 'size' for this trial is: 1
33.71671,Log,We observed: 0.6103683
34.72441,Log,Ending trial
34.72441,Log,Running trial!
34.72441,Log,The 'size' for this trial is: 1
34.72441,Log,We observed: 0.7995266
35.73957,Log,Ending trial
35.73957,Log,Running trial!
35.73957,Log,The 'size' for this trial is: 1
35.73957,Log,We observed: 0.9395436
36.74968,Log,Ending trial
36.74968,Log,Running trial!
36.74968,Log,The 'size' for this trial is: 1
36.74968,Log,We observed: 0.6724377
37.76055,Log,Ending trial
37.76055,Log,Running trial!
37.76055,Log,The 'size' for this trial is: 1
37.76055,Log,We observed: 0.02048183
38.77174,Log,Ending trial
38.77174,Log,Running trial!
38.77174,Log,The 'size' for this trial is: 1
38.77174,Log,We observed: 0.4417956
39.78244,Log,Ending trial
39.78244,Log,Running trial!
39.78244,Log,The 'size' for this trial is: 10
39.78244,Log,We observed: 0.2190229
40.79418,Log,Ending trial
40.79418,Log,Running trial!
40.79418,Log,The 'size' for this trial is: 1
40.79418,Log,We observed: 0.6703873
41.80434,Log,Ending trial
41.80434,Log,Running trial!
41.80434,Log,The 'size' for this trial is: 1
41.80434,Log,We observed: 0.1922001
42.8155,Log,Ending trial
42.8155,Log,Running trial!
42.8155,Log,The 'size' for this trial is: 1
42.8155,Log,We observed: 0.5927523
43.82689,Log,Ending trial
43.82689,Log,Running trial!
43.82689,Log,The 'size' for this trial is: 1
43.82689,Log,We observed: 0.8946103
44.83288,Log,Ending trial
44.83288,Log,Running trial!
44.83288,Log,The 'size' for this trial is: 1
44.83288,Log,We observed: 0.979764
45.8438,Log,Ending trial
45.8438,Log,Running trial!
45.8438,Log,The 'size' for this trial is: 1
45.8438,Log,We observed: 0.5760662
46.85456,Log,Ending trial
46.85456,Log,Running trial!
46.85456,Log,The 'size' for this trial is: 1
46.85456,Log,We observed: 0.1534139
47.86627,Log,Ending trial
47.86627,Log,Running trial!
47.86627,Log,The 'size' for this trial is: 1
47.86627,Log,We observed: 0.4256505
