experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,thrust,altitude,shuttle_movement_location_0
basic_example_1,pecan-79f06791-8751-4e75-b3f4-e53aaf0ee39e,1,1,1,1,16.12969,21.13591,1.918447,2,D:/UnityProjects/unity-experiment-framework/example_output/basic_example_1/pecan-79f06791-8751-4e75-b3f4-e53aaf0ee39e/S001/trackers/shuttle_movement_T001.csv
basic_example_1,pecan-79f06791-8751-4e75-b3f4-e53aaf0ee39e,1,2,1,2,23.12411,28.12842,1.103053,2,D:/UnityProjects/unity-experiment-framework/example_output/basic_example_1/pecan-79f06791-8751-4e75-b3f4-e53aaf0ee39e/S001/trackers/shuttle_movement_T002.csv
basic_example_1,pecan-79f06791-8751-4e75-b3f4-e53aaf0ee39e,1,3,1,3,30.13335,30.58828,0.9364277,,D:/UnityProjects/unity-experiment-framework/example_output/basic_example_1/pecan-79f06791-8751-4e75-b3f4-e53aaf0ee39e/S001/trackers/shuttle_movement_T003.csv
