time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
23.12411,0,2,0,0,270,90
23.14128,0,2.0189,0,0,270,90
23.15781,0,2.0372,0,0,270,90
23.17465,0,2.0558,0,0,270,90
23.1915,0,2.0743,0,0,270,90
23.2093,0,2.094,0,0,270,90
23.2252,0,2.1115,0,0,270,90
23.2423,0,2.1304,0,0,270,90
23.25931,0,2.1491,0,0,270,90
23.27575,0,2.1673,0,0,270,90
23.2926,0,2.1859,0,0,270,90
23.30945,0,2.2044,0,0,270,90
23.32632,0,2.2231,0,0,270,90
23.34333,0,2.2418,0,0,270,90
23.3604,0,2.2606,0,0,270,90
23.37684,0,2.2788,0,0,270,90
23.39434,0,2.2981,0,0,270,90
23.41054,0,2.316,0,0,270,90
23.42739,0,2.3345,0,0,270,90
23.44435,0,2.3532,0,0,270,90
23.46135,0,2.372,0,0,270,90
23.47794,0,2.3903,0,0,270,90
23.49536,0,2.4095,0,0,270,90
23.51237,0,2.4283,0,0,270,90
23.52849,0,2.4461,0,0,270,90
23.54537,0,2.4647,0,0,270,90
23.56237,0,2.4834,0,0,270,90
23.57903,0,2.5018,0,0,270,90
23.59588,0,2.5204,0,0,270,90
23.61273,0,2.539,0,0,270,90
23.6304,0,2.5585,0,0,270,90
23.64643,0,2.5762,0,0,270,90
23.6634,0,2.5949,0,0,270,90
23.68041,0,2.6136,0,0,270,90
23.69741,0,2.6324,0,0,270,90
23.71383,0,2.6505,0,0,270,90
23.73142,0,2.6699,0,0,270,90
23.74753,0,2.6877,0,0,270,90
23.76443,0,2.7063,0,0,270,90
23.78143,0,2.7251,0,0,270,90
23.79847,0,2.7439,0,0,270,90
23.81506,0,2.7622,0,0,270,90
23.83177,0,2.7806,0,0,270,90
23.84862,0,2.7992,0,0,270,90
23.86547,0,2.8178,0,0,270,90
23.88245,0,2.8365,0,0,270,90
23.89946,0,2.8553,0,0,270,90
23.91645,0,2.874,0,0,270,90
23.93346,0,2.8928,0,0,270,90
23.94971,0,2.9107,0,0,270,90
23.96656,0,2.9293,0,0,270,90
23.98347,0,2.9479,0,0,270,90
24.00026,0,2.9664,0,0,270,90
24.01748,0,2.9854,0,0,270,90
24.03396,0,3.0036,0,0,270,90
24.05081,0,3.0222,0,0,270,90
24.06766,0,3.0408,0,0,270,90
24.08451,0,3.0594,0,0,270,90
24.1015,0,3.0781,0,0,270,90
24.1185,0,3.0969,0,0,270,90
24.13506,0,3.1151,0,0,270,90
24.15191,0,3.1337,0,0,270,90
24.16875,0,3.1523,0,0,270,90
24.1856,0,3.1709,0,0,270,90
24.20252,0,3.1895,0,0,270,90
24.21953,0,3.2083,0,0,270,90
24.23615,0,3.2266,0,0,270,90
24.253,0,3.2452,0,0,270,90
24.26985,0,3.2638,0,0,270,90
24.28754,0,3.2833,0,0,270,90
24.30355,0,3.301,0,0,270,90
24.3204,0,3.3196,0,0,270,90
24.33755,0,3.3385,0,0,270,90
24.35409,0,3.3567,0,0,270,90
24.37094,0,3.3753,0,0,270,90
24.38779,0,3.3939,0,0,270,90
24.40464,0,3.4125,0,0,270,90
24.42157,0,3.4312,0,0,270,90
24.43858,0,3.4499,0,0,270,90
24.45519,0,3.4683,0,0,270,90
24.47204,0,3.4868,0,0,270,90
24.48889,0,3.5054,0,0,270,90
24.50574,0,3.524,0,0,270,90
24.52259,0,3.5426,0,0,270,90
24.53943,0,3.5612,0,0,270,90
24.5566,0,3.5801,0,0,270,90
24.57313,0,3.5984,0,0,270,90
24.58998,0,3.6169,0,0,270,90
24.60683,0,3.6355,0,0,270,90
24.62368,0,3.6541,0,0,270,90
24.64062,0,3.6728,0,0,270,90
24.65738,0,3.6913,0,0,270,90
24.67423,0,3.7099,0,0,270,90
24.69108,0,3.7285,0,0,270,90
24.70793,0,3.747,0,0,270,90
24.72478,0,3.7656,0,0,270,90
24.74165,0,3.7842,0,0,270,90
24.75865,0,3.803,0,0,270,90
24.77532,0,3.8214,0,0,270,90
24.79217,0,3.84,0,0,270,90
24.80902,0,3.8586,0,0,270,90
24.82587,0,3.8771,0,0,270,90
24.84272,0,3.8957,0,0,270,90
24.85967,0,3.9144,0,0,270,90
24.87667,0,3.9332,0,0,270,90
24.89368,0,3.9519,0,0,270,90
24.91012,0,3.9701,0,0,270,90
24.92697,0,3.9887,0,0,270,90
24.94382,0,4.0072,0,0,270,90
24.96069,0,4.0259,0,0,270,90
24.9777,0,4.0446,0,0,270,90
24.99436,0,4.063,0,0,270,90
25.01121,0,4.0816,0,0,270,90
25.02871,0,4.1009,0,0,270,90
25.04571,0,4.1196,0,0,270,90
25.06176,0,4.1373,0,0,270,90
25.07872,0,4.156,0,0,270,90
25.09572,0,4.1748,0,0,270,90
25.11273,0,4.1936,0,0,270,90
25.12915,0,4.2117,0,0,270,90
25.146,0,4.2303,0,0,270,90
25.16285,0,4.2488,0,0,270,90
25.17974,0,4.2675,0,0,270,90
25.19674,0,4.2862,0,0,270,90
25.21375,0,4.305,0,0,270,90
25.23075,0,4.3237,0,0,270,90
25.24776,0,4.3425,0,0,270,90
25.26395,0,4.3604,0,0,270,90
25.2808,0,4.3789,0,0,270,90
25.29777,0,4.3977,0,0,270,90
25.31477,0,4.4164,0,0,270,90
25.33135,0,4.4347,0,0,270,90
25.34819,0,4.4533,0,0,270,90
25.3658,0,4.4727,0,0,270,90
25.3819,0,4.4905,0,0,270,90
25.3988,0,4.5091,0,0,270,90
25.4158,0,4.5279,0,0,270,90
25.4328,0,4.5466,0,0,270,90
25.44929,0,4.5648,0,0,270,90
25.46614,0,4.5834,0,0,270,90
25.48299,0,4.602,0,0,270,90
25.49984,0,4.6206,0,0,270,90
25.51682,0,4.6393,0,0,270,90
25.53383,0,4.6581,0,0,270,90
25.55038,0,4.6763,0,0,270,90
25.56723,0,4.6949,0,0,270,90
25.58408,0,4.7135,0,0,270,90
25.60093,0,4.7321,0,0,270,90
25.61785,0,4.7507,0,0,270,90
25.63485,0,4.7695,0,0,270,90
25.65185,0,4.7882,0,0,270,90
25.66886,0,4.807,0,0,270,90
25.68586,0,4.8257,0,0,270,90
